pl-reference,pl-covid,it-reference,it-covid,nl-reference,nl-covid,gb-reference,gb-covid,es-reference,es-covid,dk-reference,dk-covid
ekspercki,kierownictwo,pulizia,comitato,deskundige,deskundige,panel,advisory,constituido,comité,lytte,embedsværk
gremium,współpracować,dottoressa,scientifico,bureau,wetenschapper,eminent,sage,incorporación,científico,enkeltsag,offentlighed
kierownictwo,dialog,universitario,scienziato,rivm,omt,expertise,scientist,corrección,independiente,afvejning,departement
prawnik,forum,consulente,comando,onafhankelijk,rivm,advisory,adviser,motivado,autoridad,interessent,dokument
prawniczy,autorytet,ingegnere,tecnico,deskundig,viroloog,secretariat,economist,relevante,delegado,orientere,interessent
forum,prawniczy,inoltrare,magistrato,raadsman,gedragsdeskundige,authoritative,practitioner,obstante,comités,rarte,embedsmand
konstytucjonalista,rola,orale,regia,instituut,onderzoeker,forensic,clinician,requerimiento,dejación,ministerium,anvisning
fachowiec,sędziowski,incaricare,garbo,onderzoeker,wereldgezondheidsorganisatie,adviser,epidemiologist,alcance,interterritorial,sage,ombudsmand
opracowanie,spotykać,conversazione,intreccio,extern,advies,scientific,panel,circunstancia,competente,konklusion,fortrolighed
liczny,były,professore,scienza,volkenrechtelijk,wetenschappelijk,respected,eminent,ordinario,técnico,skøn,kommunalbestyrelse
zaprosić,medialny,consulenza,interlocutore,valideren,adviseren,professor,expertise,complementario,mando,fagfolk,anliggende
praktyk,oceniać,consultare,onorario,adviescommissie,omtadvies,input,respected,elemental,gestión,læne,int
organizacja,kierowniczy,università,rivista,jurist,expertise,scientist,advice,obligar,investigación,ressortområde,løbende
biuro,prasowy,impossibilitare,attitudine,zorginstituut,deskundig,ipo,scientific,precisar,responsable,overvejelse,biskop
uzgodnienie,resort,liquidatore,gratitudine,onderzoeksbureau,epidemioloog,mediator,experienced,exigencia,coordinar,landbrugsfaglig,folkevælge
