covid_nl(272),reference_nl(157),covid_it(124),reference_it(42),covid_gb(645),reference_gb(377),covid_pl(151),reference_pl(99)
patiënt (U),vormen,protocollo (U),avvalere,decant (U),evidence,dziękować,dziękować
laten (U),latent,task (U),rescindere,public (U),noncore,społeczny (U),ekspertyza
omt (U),vliegbeweging,ausilio (U),settore,evidence,profess,wskazywać (U),zdezawuować
kenner (U),recensie,capo (U),supporto,alley (U),popular,ekspertyza,spełnić
adviseren (U),energielabel,passerella (U),trattativa,advisory (U),tournament,noc (U),pan
mitigeren (U),installateur,scienziato (U),provocare,professional (U),acm,pan,adwokacki
riedeltje (U),bewindspersoon,talk (U),cattura,assessment (U),chair,psychika (U),komisja
brononderzoek (U),onderzoek,cosa (U),giustificato,advice,advice,merytoryczny (U),współgrać
luisteren (U),houdbaar,dottore (U),amaro,health (U),network,pani (U),współautor
wapeninzet (U),basis,show (U),struttura,prince (U),distinguished,uniwersytet (U),działka
verkijken (U),keurmerk,nominare (U),cadauno,independent,independent,konsultacja (U),autorytet
groepsimmuniteit (U),onhoudbaar,smartphone (U),roccia,witness (U),bloodstream,społeczeństwo (U),zakorzenić
halfslachtig (U),rivm,nomina (U),bravo,ethic (U),risk,autorytet,wczoraj
technisch (U),cryptobedrijf,orientare (U),necessire,advise,underus,poseł (U),wenecka
epidemie (U),onafhankelijk,medico (U),astruso,listen,antimicrobial,konsultant (U),cywilista
mitigatiefase (U),installatie,comitatismo (U),consulente,adviser (U),listen,udział (U),środowisko
hoorzitting,inschatting,probabile (U),sostenitore,recovery (U),advise,dziedzina (U),international
zitten (U),hand,fiscalità (U),arcinoto,legal (U),depreciation,mowa (U),słuchać
wereld (U),scalen,force (U),gretina,expertise,report,podarować (U),komparatystyczny
briefing (U),belangenorganisatie,stanco (U),tecnico,chief (U),specialist,spotkanie (U),kodyfikacyjny
betrekken (U),beoordelen,spiegare (U),cera,consult (U),expertise,epidemiologia (U),wątpliwy
verstand (U),fintech,qualificato (U),dilettantesco,science (U),consistent,słuchać,bezkręgowiec
app (U),zonnekeur,compenso (U),scientifico,scientist,scientist,online (U),orda
zeggen (U),hoorzitting,consulente,inattaccabile,medical (U),committee,psycholog (U),poddać
dammen (U),leiding,insieme (U),stanziare,panel (U),team,testować (U),model
