language,word,translation
gb,virus,virus
gb,coronavirus,coronavirus
gb,corona,corona
gb,pandemic,pandemic
gb,pandemics,pandemics
gb,epidemic,epidemic
gb,viruses,viruses
gb,covid,covid
gb,covid-19,covid-19
gb,sars-cov-2,sars-cov-2
gb,virus,virus
bg,virus,вирус
bg,coronavirus,коронавирус
bg,corona,корона
bg,pandemic,пандемия
bg,pandemics,пандемии
bg,epidemics,епидемии
bg,epidemic,епидемия
bg,viruses,вируси
bg,covid,covid
bg,covid-19,covid-19
bg,sars-cov-2,sars-cov-2
pl,virus,wirus
pl,coronavirus,koronawirus
pl,corona,korona
pl,pandemic,pandemia
pl,pandemics,pandemie
pl,epidemics,epidemie
pl,epidemic,epidemia
pl,viruses,wirusy
pl,covid,covid
pl,covid-19,covid-19
pl,sars-cov-2,sars-cov-2
si,virus,virus
si,coronavirus,koronavirus
si,corona,korona
si,pandemic,pandemija
si,pandemics,pandemije
si,epidemics,epidemije
si,epidemic,epidemija
si,viruses,virusi
si,covid,covid
si,covid-19,covid-19
si,sars-cov-2,sars-cov-2
nl,virus,virus
nl,coronavirus,coronavirus
nl,corona,corona
nl,pandemic,pandemie
nl,pandemics,pandemieën
nl,epidemics,epidemieën
nl,epidemic,epidemie
nl,viruses,virussen
nl,covid,covid
nl,covid-19,covid-19
nl,sars-cov-2,sars-cov-2
fr,virus,virus
fr,coronavirus,coronavirus
fr,corona,couronne
fr,pandemic,pandémie
fr,pandemics,pandémies
fr,epidemics,épidémies
fr,epidemic,épidémie
fr,viruses,virus
fr,covid,covid
fr,covid-19,covid-19
fr,sars-cov-2,SRAS-CoV-2
is,virus,veira
is,coronavirus,kórónaveira
is,corona,kóróna
is,pandemic,heimsfaraldur
is,pandemics,heimsfaraldrar
is,epidemics,faraldrar
is,epidemic,faraldur
is,viruses,vírusar
is,covid,covid
is,covid-19,covid-19
is,sars-cov-2,sars-cov-2
lt,virus,virusas
lt,coronavirus,koronavirusas
lt,corona,vainikėlis
lt,pandemic,pandemija
lt,pandemics,pandemijos
lt,epidemics,epidemijos
lt,epidemic,epidemija
lt,viruses,virusai
lt,covid,covid
lt,covid-19,covid-19
lt,sars-cov-2,sars-cov-2
cs,virus,virus
cs,coronavirus,koronavirus
cs,corona,korona
cs,pandemic,pandemický
cs,pandemics,pandemie
cs,epidemics,epidemie
cs,epidemic,epidemický
cs,viruses,viry
cs,covid,covid
cs,covid-19,covid-19
cs,sars-cov-2,sars-cov-2
it,virus,virus
it,coronavirus,coronavirus
it,corona,corona
it,pandemic,pandemia
it,pandemics,pandemie
it,epidemics,epidemie
it,epidemic,epidemico
it,viruses,virus
it,covid,covid
it,covid-19,covid-19
it,sars-cov-2,sars-cov-2
tr,virus,virüs
tr,coronavirus,koronavirüs
tr,corona,korona
tr,pandemic,pandemi
tr,pandemics,salgın
tr,epidemics,salgın hastalıklar
tr,epidemic,epidemi
tr,viruses,virüsler
tr,covid,kovid
tr,covid-19,kovid-19
tr,sars-cov-2,sars-cov-2
da,virus,virus
da,coronavirus,coronavirus
da,corona,korona
da,pandemic,pandemi
da,pandemics,pandemier
da,epidemics,epidemier
da,epidemic,epidemi
da,viruses,vira
da,covid,covid
da,covid-19,covid-19
da,sars-cov-2,sars-cov-2
hu,virus,vírus
hu,coronavirus,koronavírus
hu,corona,korona
hu,pandemic,világjárvány
hu,pandemics,járványok
hu,epidemics,járványok
hu,epidemic,járvány
hu,viruses,vírusok
hu,covid,covid
hu,covid-19,covid-19
hu,sars-cov-2,sars-cov-2
ro,virus,virus
ro,coronavirus,coronavirus
ro,corona,corona
ro,pandemic,pandemic
ro,pandemics,pandemii
ro,epidemics,epidemii
ro,epidemic,epidemic
ro,viruses,viruși
ro,covid,covid
ro,covid-19,covid-19
ro,sars-cov-2,sars-cov-2
