language,word,translation
gb,expert,expert
gb,experts,experts
gb,scientist,scientist
gb,scientists,scientists
gb,science,science
gb,expertise,expertise
gb,knowledge,knowledge
gb,information,information
gb,measures,measures
gb,policy,policy
gb,program,program
bg,expert,експерт
bg,experts,експерти
bg,scientist,учен
bg,scientists,учени
bg,science,наука
bg,expertise,експертиза
bg,knowledge,знания
bg,information,информация
bg,measures,мерки
bg,policy,политика
bg,program,програма
pl,expert,ekspert
pl,experts,ekspertów
pl,scientist,naukowiec
pl,scientists,naukowcy
pl,science,nauka
pl,expertise,ekspertyza
pl,knowledge,"wiedza, umiejętności"
pl,information,Informacja
pl,measures,środki
pl,policy,polityka
pl,program,program
si,expert,strokovnjak
si,experts,strokovnjaki
si,scientist,znanstvenik
si,scientists,znanstveniki
si,science,znanosti
si,expertise,strokovno znanje
si,knowledge,znanje
si,information,informacije
si,measures,ukrepov
si,policy,politike
si,program,program
nl,expert,expert
nl,experts,experts
nl,scientist,wetenschapper
nl,scientists,wetenschappers
nl,science,wetenschap
nl,expertise,expertise
nl,knowledge,kennis
nl,information,informatie
nl,measures,maatregelen
nl,policy,beleid
nl,program,programma
fr,expert,expert
fr,experts,experts
fr,scientist,scientifique
fr,scientists,scientifiques
fr,science,science
fr,expertise,compétence
fr,knowledge,connaissance
fr,information,informations
fr,measures,mesures
fr,policy,politique
fr,program,programme
is,expert,sérfræðingur
is,experts,sérfræðingar
is,scientist,vísindamaður
is,scientists,vísindamenn
is,science,vísindi
is,expertise,sérþekkingu
is,knowledge,þekkingu
is,information,upplýsingar
is,measures,ráðstafanir
is,policy,stefna
is,program,forrit
lt,expert,ekspertas
lt,experts,ekspertai
lt,scientist,mokslininkas
lt,scientists,mokslininkai
lt,science,mokslas
lt,expertise,ekspertizė
lt,knowledge,žinių
lt,information,informacija
lt,measures,priemonės
lt,policy,politiką
lt,program,programa
cs,expert,expert
cs,experts,Odborníci
cs,scientist,vědec
cs,scientists,vědci
cs,science,Věda
cs,expertise,odbornost
cs,knowledge,znalost
cs,information,informace
cs,measures,opatření
cs,policy,politika
cs,program,program
it,expert,esperto
it,experts,esperti
it,scientist,scienziato
it,scientists,scienziati
it,science,scienza
it,expertise,competenza
it,knowledge,conoscenza
it,information,informazione
it,measures,le misure
it,policy,politica
it,program,programma
tr,expert,uzman
tr,experts,uzmanlar
tr,scientist,Bilim insanı
tr,scientists,Bilim insanları
tr,science,Bilim
tr,expertise,Uzmanlık
tr,knowledge,bilgi
tr,information,bilgi
tr,measures,ölçümler
tr,policy,politika
tr,program,program
da,expert,ekspert
da,experts,eksperter
da,scientist,videnskabsmand
da,scientists,forskere
da,science,videnskab
da,expertise,ekspertise
da,knowledge,viden
da,information,Information
da,measures,foranstaltninger
da,policy,politik
da,program,program
hu,expert,szakértő
hu,experts,szakértők
hu,scientist,tudós
hu,scientists,tudósok
hu,science,tudomány
hu,expertise,szakvélemény
hu,knowledge,tudás
hu,information,információ
hu,measures,intézkedéseket
hu,policy,irányelv
hu,program,program
ro,expert,expert
ro,experts,experți
ro,scientist,om de stiinta
ro,scientists,oamenii de știință
ro,science,ştiinţă
ro,expertise,expertiză
ro,knowledge,cunoştinţe
ro,information,informație
ro,measures,măsuri
ro,policy,politică
ro,program,program
es,expert,experto
es,expert,experta
es,experts,expertos
es,scientist,científico
es,scientist,científica
es,scientists,científicos
es,science,ciencia
es,expertise,pericia
es,knowledge,conocimiento
es,information,información
es,measures,medidas
es,policy,política
es,program,programa
dk,expert,ekspert
dk,experts,eksperter
dk,scientist,videnskabsmand
dk,science,videnskab
dk,expertise,ekspertise

